Full Name,Gender,Collection,Keeper
"Lanciani, Rodolfo",male,,BEIC Digital Library
"Landino, Cristoforo",male,,BEIC Digital Library
"Lanzi, Luigi",male,,Archivio di Stato di Terni
"Ligorio, Pirro",male,,Pirro Ligorio
"Lomazzo, Gian Paolo ",male,,"Ente ""Raccolta vinciana"""
"Longhi, Roberto",male,,Fondazione di studi di storia dell'arte Roberto Longhi
"Lopresti Longhi, Lucia ",female,,
"Magagnato, Licisco",male,,Castelvecchio Museum
"Magliabechiano, Anonimo",unknown,,
"Malaguzzi-Valeri, Francesco, Conte",male,,
"Maltese, Corrado",male,,Tor Vergata University of Rome
"Malvasia, Carlo Cesare",male,,Biblioteca Nazionale Marciana
"Mancini, Giulio",male,,BEIC Digital Library
"Manetti, Antonio",male,,
"Marabottini, Alessandro",male,,Fondazione Cassa di Risparmio di Perugia
"Marangoni, Matteo",male,,
Margherita Sarfatti,female,,Museum of Modern and Contemporary Art of Trento and Rovereto
"Mariani, Valerio",male,,University of Udine
"Milanesi, Gaetano ",male,,Biblioteca comunale degli Intronati 
"Milizia, Francesco",male,,Biblioteca statale di Lucca
"Monneret de Villard, Ugo ",male,,Biblioteca di archeologia e storia dell'arte
"Morelli, Giovanni",male,,
"Muraro, Michaelangelo ",male,,University of Udine
"Orlandi, Pellegrino Antonio ",male,,
"Orsini, Fulvio",male,,BEIC Digital Library
"Pallottino, Massimo",male,Fondo Pallottino Massimo,Central Archives of the State
"Pallucchini, Rodolfo",male,Fondo librario Rodolfo Pallucchini,University of Udine
"Pane, Roberto",male,Biblioteca Pane,University of Naples Federico II
"Paoletti, Pietro",male,,
"Paribeni, Enrico",male,Archivio Enrico Paribeni,University of Florence
"Pascoli, Lione ",male,,Getty Research Institute
"Passeri, Giovanni Battista",male,Fototeca Zeri,Fondazione Federico Zeri
"Patin, Charlotte-Catherine",female,,Getty Research Institute
"Pedretti, Carlo",male,,Nuova Fondazione Rossana e Carlo Pedretti
"Pietrangeli, Carlo ",male,Fondo Pietrangeli Carlo ,Sezione di Archivio di Stato di Spoleto
"Pirri, Pietro",male,,
"Pittaluga, Mary",female,Fondo Pittaluga Mary,Biblioteca Marucelliana
"Poggi, Giovanni",male,Fondo Giovanni Poggi,Centro di documentazione della Soprintendenza speciale per il Polo museale Fiorentino
"Portoghesi, Paolo",male,Fondo Paolo Portoghesi,Archivio privato di Calcata
"Praz, Mario",male,,Museo Mario Praz
"Previtali, Giovanni",male,Fondo Giovanni Previtali,University of Siena
"Procacci, Ugo",male,,Camaiore Religious Art Museum
"Ragghianti, Carlo Ludovico",male,,
"Ragusa, Isa",female,,Scuola d'Italia Guglielmo Marconi
"Ricci, Corrado",male,Fondo Corrado Ricci,Istituto Nazionale di Archeologia e Storia dell’Arte (INASA)
"Ridgway, Brunilde Sismondo",female,,
"Ridolfi, Carlo",male,"Fondo Ridolfi di Meleto, famiglia",Archivio privato di Meleto
"Ridolfi, Enrico",male,Fondo Enrico Ridolfi,Biblioteca statale di Lucca
"Ripa, Cesare",male,,
"Rivoira, Giovanni Teresio ",male,,
"Rizzo, Giulio Emanuele ",male,,
"Romanini, Angiola Maria",female,,
"Rossi, Filippo",male,,
"Salerno, Luigi",male,,Getty Research Institute
"Salmi, Mario",male,,Biblioteca dell'Istituto Nazionale di Studi sul Rinascimento
"Salvini, Roberto",male,,
"Santi, Giovanni",male,,El Paternal Mio Nido
"Scaramuccia, Luigi Pellegrini",male,,
"Schiavo, Armando",male,,
"Selvatico, Pietro",male,Fondo Milanesi Carlo,Biblioteca comunale degli Intronati
"Soprani, Raffaele ",male,,
"Spezzaferro, Luigi ",male,,
"Supino, Igino Benvenuto",male,Fondo fotografico Igino Supino,Università di Bologna
"Tafuri, Manfredo",male,,
"Tarchiani, Nello  ",male,Fondo Nello Tarchiani,Archivio contemporaneo Alessandro Bonsanti
"Tea, Eva",female,Lascito Eva Tea - Giacomo Boni,Istituto Lombardo Accademia di Scienze e Lettere
"Temanza, Tommaso",male,,
"Ticozzi, Stefano",male,,
"Titi, Filippo ",male,,
"Toesca, Pietro",male,,
"Tucci, Giuseppe",male,Archivio fotografico Giuseppe Tucci,Biblioteca Nazionale Centrale di Roma
"Varchi, Benedetto",male,,
