Place Entity,Coordinates,Place,lat,lon,Latitude,Longitude,Place
Q102599,"10º54'0.00""E, 43º48'60.00""N",Lamporecchio,"10º54'0.00""E","43º48'60.00""N",43.816666666,10.9,Lamporecchio
Q103305,"10º51'60.00""E, 43º23'60.00""N",Volterra,"10º51'60.00""E","43º23'60.00""N",43.4,10.866666666,Volterra
Q34560,"11º26'60.00""E, 45º3'60.00""N",Giacciano con Baruchella,"11º26'60.00""E","45º3'60.00""N",45.066666666,11.45,Giacciano con Baruchella
Q266975,"9º12'36.44""E, 44º20'5.76""N",Santa Margherita Ligure,"9º12'36.44""E","44º20'5.76""N",44.334933333,9.210122222,Santa Margherita Ligure
Q48027,"11º18'41.33""E, 45º11'34.33""N",Legnago,"11º18'41.33""E","45º11'34.33""N",45.19287,11.31148,Legnago
Q6285,"8º49'60.00""E, 45º48'60.00""N",Varese,"8º49'60.00""E","45º48'60.00""N",45.816666666,8.833333333,Varese
Q2402810,"11º2'1.00""E, 43º5'25.00""N",Boccheggiano,"11º2'1.00""E","43º5'25.00""N",43.09027778,11.03361111,Boccheggiano
Q41819,"94º34'60.00""E, 39º2'60.00""N",Kansas City,"94º34'60.00""E","39º2'60.00""N",39.05,94.583333333,"Kansas City, Missouri"
Q3437,"12º23'19.68""E, 43º6'43.56""N",Perugia,"12º23'19.68""E","43º6'43.56""N",43.1121,12.3888,Perugia
Q1449,"8º56'2.34""E, 44º24'25.87""N",Genoa,"8º56'2.34""E","44º24'25.87""N",44.407186111,8.933983333,Genoa
Q13375,"10º24'0.00""E, 43º42'60.00""N",Pisa,"10º24'0.00""E","43º42'60.00""N",43.716666666,10.4,Pisa
Q138823,"11º43'35.00""E, 42º33'1.00""N","Farnese, Lazio","11º43'35.00""E","42º33'1.00""N",42.550277777,11.726388888,"Farnese, Lazio"
Q30028725,"7º11'30.01""E, 44º57'32.72""N",Perosa Argentina,"7º11'30.01""E","44º57'32.72""N",44.95909,7.19167,Perosa Argentina
Q279373,"11º2'3.00""E, 45º52'60.00""N",Rovereto,"11º2'3.00""E","45º52'60.00""N",45.883333333,11.034166666,Rovereto
Q2044,"11º15'15.00""E, 43º46'17.00""N",Florence,"11º15'15.00""E","43º46'17.00""N",43.771388888,11.254166666,Florence
Q269516,"7º39'49.50""E, 43º55'57.14""N","Pigna, Liguria","7º39'49.50""E","43º55'57.14""N",43.932538888,7.66375,"Pigna, Liguria"
Q56086,"13º45'44.97""E, 43º0'0.78""N",Ripatransone,"13º45'44.97""E","43º0'0.78""N",43.000216666,13.762491666,Ripatransone
Q13373,"10º30'60.00""E, 43º51'0.00""N",Lucca,"10º30'60.00""E","43º51'0.00""N",43.85,10.516666666,Lucca
Q52097,"11º31'58.00""E, 43º33'52.00""N",San Giovanni Valdarno,"11º31'58.00""E","43º33'52.00""N",43.564444444,11.532777777,San Giovanni Valdarno
Q90,"2º21'5.00""E, 48º51'25.00""N",Paris,"2º21'5.00""E","48º51'25.00""N",48.856944444,2.351388888,Paris
Q11299,"73º59'39.00""E, 40º43'42.00""N",Manhattan,"73º59'39.00""E","40º43'42.00""N",40.728333333,73.994166666,Manhattan
Q641,"12º19'55.00""E, 45º26'23.00""N",Venice,"12º19'55.00""E","45º26'23.00""N",45.439722222,12.331944444,Venice
